NAAM,AFKORTING,TYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,ROTATIE,X,Y,LATITUDE,LONGITUDE
Brug o/d Arne,Abr,Brug,127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,65.865.891,65,865891,0.288313,0,288313,0,34390,391524,514.998.040.592.725,365.011.454.218.907
Abcoude,Ac,Station,80,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,10.100.504,10,100504,-0.203443,-0,203443,0,127050,476774,522.782.616.466.162,497.765.073.386.807
Abcoude overloop,Aco,Overloop,80,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,11.204.869,11,204869,-0.003887,-0,003887,0,127578,475801,522.695.432.991.295,498.546.634.286.152
Erasmusgracht aansl.,Aeg,Aansluiting,523,a,523,523_a,Amsterdam Sloterdijk,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,53.699.706,53,699706,-0.065816,-0,065816,0,117557,487945,523.780.951.884.829,483.731.286.935.176
Arnhem Centraal,Ah,Station,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,91.931.302,91,931302,0.453133,0,453133,0,190329,444162,519.847.305.734.004,590.149.071.797.926
Arnhem Berg,Ahb,Overloop,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,90.890.404,90,890404,0.131659,0,131659,0,189305,444354,519.865.204.878.074,588.660.401.739.511
Arnhem Berg opstel.,Ahbo,Goederen Emplacement,508,,508,508__,Arnhem,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,90.800.455,90,800455,-0.178982,-0,178982,0,189214,444364,519.866.159.844.008,588.528.031.519.251
Arnhem Goederenstation,Ahg,Goederen Emplacement,437,a,437,437_a,Arnhem Goederenstation - Velperbroek Aansl.,Ahg-Va,Arnhem Goederenstation - Velperpoort Aansl. ,0.899804,0,899804,0.298663,0,298663,0,192633,443271,519.765.709.635.623,593.493.103.254.082
Arnhem Goederen Opstel NS,Ahgons,Goederen Emplacement,437,b,437,437_b,Arnhem Goederenstation - Velperbroek Aansl.,Ahg-Ahi,Arnhem Goederenstation - Arnhem Industrie ,100.107.506,100,107506,-38.256.789,-38,256789,0,192566,443151,519.754.969.597.289,593.394.277.717.763
Arnhem Velperpoort,Ahp,Halte,37,,37,037__,Arnhem - Velperbroek Aansl.,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,93.199.873,93,199873,0.502983,0,502983,0,191572,444222,519.851.893.287.868,591.959.086.416.175
Arnhem Presikhaaf,Ahpr,Halte,34,,34,034__,Velperbroek Aansl. - Dieren,Ah-Zl,Arnhem - Zwolle ,1.400.109,1,400109,0.449361,0,449361,0,193233,444547,519.879.984.334.896,594.380.566.254.981
