OBJECTID,PUIC,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,LATITUDE,LONGITUDE,KM_GEOCODE
1,224e4220-f518-4343-89e1-0a7437f73d6e,Zoetermeer Oost,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ztmo,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,"12,823001",-0.385657,"-0,385657",107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,93650,451274,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d4975498-6f9a-4f52-93f7-ada3b5b836ad,ZTMO,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Zoetermeer Oost,Den Haag HS,52.04638439,4.49288434,12.823001
2,951fbc4c-56d9-49ee-9144-8069d20c11fc,Voorburg,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Vb,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,"22,347731",0.076921,"0,076921",107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,84566,453626,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,52.06644194,4.35999842,22.347731
3,d4cb321c-5af9-4f94-93b2-842810a22901,Den Haag Binckhorst,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Bkh,Ja,Goederen emplacement,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,"100,044463",-0.168959,"-0,168959",564,d,564,564_d,Den Haag Binckhorst,ProRail,Randstad Zuid,RZ,Baan,Den Haag,110,Den Haag,2,VolkerRail,83167,454394,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,78125bc9-75e5-41d1-9585-d4eee139a25f,BKH,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag Binckhorst,Den Haag HS,52.07316422,4.33943715,100.044463
4,8ef36ac8-5f33-456b-bf85-6e654d33c9bf,Grijpskerk aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gka,Ja,OA Overloop-aansluiting,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"63,550265",0.440704,"0,440704",002,,2,002__,Leeuwarden - Groningen,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,218167,585873,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cf9c42f1-c9d9-493d-8c47-2a54aee013bb,GKA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Grijpskerk aansl.,Groningen,53.25567759,6.33368986,63.550265
5,381751cc-2730-415b-be73-e182e709be15,"Reitdiep, brug o/h - bij Groningen",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Rdp,Ja,BR Beweegbare brug,Gn-Dz,Groningen - Delfzijl ,"2,551296",-0.000763,"-0,000763",006,,6,006__,Groningen - Sauwerd,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,232153,582211,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.22094419,6.54233628,2.551296
6,c0b18037-9276-499c-99bf-583bfe7feea9,Wildervank,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Wdv,Nee,Stop-station,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,"12,385978",-0.340684,"-0,340684",305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Derden - Overig - STAR,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,254400,567341,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.08369598,6.87073666,12.385978
7,92428a84-7c1e-40fb-8f38-6bd9bbbaa33c,Bareveld,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Brv,Nee,Stop-station,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,"8,745321",0.027181,"0,027181",305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,Derden - Overig - STAR,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,253093,563938,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.05336486,6.85020579,8.745321
8,ddd3cd78-955d-40f5-a0e2-b8e52164cf24,Leeuwarden Camminghaburen,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Lwc,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"29,700468",-0.311382,"-0,311382",002,,2,002__,Leeuwarden - Groningen,ProRail,Noord-Oost,NO,Baan,Wadden,420,Groningen,37,Strukton Rail,185473,579602,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.20219388,5.84323773,29.700468
9,18e2bdf0-d7dd-44c2-8cd1-87fddece5346,Kropswolde,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Kw,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,"92,397868",0.207488,"0,207488",004,,4,004__,Waterhuizen Aansl. - Zuidbroek,ProRail,Noord-Oost,NO,Baan,Drenthe,440,Drenthe,35,ASSET Rail,244292,575826,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.1616974,6.72226361,92.397868
10,85e32dc0-015e-433f-996f-1e142ec65a45,"Harinxmakanaal, brug o/h van - tussen Leeuwarden en Grou-Jirnsum",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Hrmk,Ja,BR Beweegbare brug,Zl-Lw,Zwolle - Leeuwarden ,"164,739945",-0.083835,"-0,083835",009,,9,009__,Meppel - Leeuwarden,ProRail,Noord-Oost,NO,Baan,Wadden,420,Friesland,36,Strukton Rail,180854,577689,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,53.18524769,5.773962,164.739945
